Architecture,Sparse_Dim,Dense_Dim,Compression,Sparsity,AE_Loss,Diag_Mean,Off_Diag_Mean,Max_Value,Diag_Dominance
3-2-3,3,2,3/2 = 1.5,0.3,0.05540441882423586,0.703159088506422,0.03895408113986992,1.0891396120269092,18.05096892086724
3-2-3,3,2,3/2 = 1.5,0.5,0.04592992921462477,0.9567958055941969,0.31252554875372024,1.0348285812448417,3.061496184215069
3-2-3,3,2,3/2 = 1.5,0.75,0.016263830319325153,1.0606253265798502,0.3732559336493497,1.1406176874680938,2.8415497318275538
3-2-3,3,2,3/2 = 1.5,0.8,0.011332645378567334,1.0080141458325345,0.36272642486985657,1.0131160891506328,2.7789927861039465
3-2-3,3,2,3/2 = 1.5,0.85,0.00573569152918869,1.0307845529643531,0.3787635417074888,1.063956932332627,2.721446000591964
3-2-3,3,2,3/2 = 1.5,0.9,0.002413752065587113,1.0469479709494298,0.4028629315546924,1.0641240986335487,2.598769613579106
3-2-3,3,2,3/2 = 1.5,0.95,0.01917052154834208,0.36667901717830764,0.06472871698279785,1.0664735085559602,5.6648575411618305
5-2-5,5,2,5/2 = 2.5,0.3,0.12571516976456343,0.41501669262767554,0.03858734775712581,1.0329893800172143,10.755250339757604
5-2-5,5,2,5/2 = 2.5,0.5,0.11123212055115643,0.5532385354257181,0.13931732313148326,1.1042906851710068,3.9710675117760776
5-2-5,5,2,5/2 = 2.5,0.75,0.04342836212273212,0.8195757080027182,0.2629557086208462,1.0936020650496538,3.116782218318887
5-2-5,5,2,5/2 = 2.5,0.8,0.03111705900902234,0.8337380704199278,0.2607819507375337,1.0756309948454217,3.197069567473077
5-2-5,5,2,5/2 = 2.5,0.85,0.04287535255393712,0.6143423157854557,0.13633685702581186,1.183832753456615,4.506061560510599
5-2-5,5,2,5/2 = 2.5,0.9,0.05221146473653348,0.416295363414961,0.04596109822038839,1.0422415912976202,9.05755712892693
5-2-5,5,2,5/2 = 2.5,0.95,0.025064981245257967,0.41937865191930845,0.059580901313285264,1.0585534485132377,7.038808951983855
4-3-4,4,3,4/3 = 1.3,0.3,0.039386588735697045,0.7888637004518687,0.04601259538245472,1.0663147924495224,17.144512767639842
4-3-4,4,3,4/3 = 1.3,0.5,0.03617455010951401,1.0472281469877496,0.20860978961529297,1.115007820642883,5.020033329781207
4-3-4,4,3,4/3 = 1.3,0.75,0.009476510894336989,1.0350899544441472,0.21849313789414684,1.0862727714113807,4.737402359847075
4-3-4,4,3,4/3 = 1.3,0.8,0.06918591985688288,0.7545341587251387,0.020034490652347272,1.0220297073777767,37.66174020597495
4-3-4,4,3,4/3 = 1.3,0.85,0.051511869627250746,0.7508216390429991,0.0014012589032333343,1.0020471593142917,535.8155292753079
4-3-4,4,3,4/3 = 1.3,0.9,0.03519700585689687,0.7538653775545159,0.03576200930304133,1.0289332029992562,21.080056222955072
4-3-4,4,3,4/3 = 1.3,0.95,0.0008976114592332704,1.0425844131520892,0.30544598056181327,1.0881040998868157,3.4133183782653083
8-3-8,8,3,8/3 = 2.7,0.3,0.10719604831795748,0.3827827451708995,0.020097012633581674,1.0397841611208798,19.046739019504216
8-3-8,8,3,8/3 = 2.7,0.5,0.10777166476790176,0.45583663056113544,0.06655939877523816,1.004165640264537,6.848567902705269
8-3-8,8,3,8/3 = 2.7,0.75,0.08715991076287298,0.6787104273207285,0.10516468283037009,1.1945972108665934,6.453786047903774
8-3-8,8,3,8/3 = 2.7,0.8,0.04584656408846079,0.7578173129556206,0.17399206545086962,1.365273870377638,4.355470276401218
8-3-8,8,3,8/3 = 2.7,0.85,0.10997759243835903,0.6527894219587721,0.08881143275787637,1.0666459907750938,7.350285072368995
8-3-8,8,3,8/3 = 2.7,0.9,0.03394395490034998,0.6681492994986847,0.10911017366780561,1.1689551265961722,6.1236199687182
8-3-8,8,3,8/3 = 2.7,0.95,0.034353752328231374,0.5220683364152668,0.07607939701100562,1.0611815049984141,6.862150441574086
